,x,y,w,h,frame_id
785,1510,389,118,35,269
786,1401,224,133,80,270
787,1696,271,137,78,270
788,1510,352,78,36,270
789,1245,360,82,35,270
790,1370,360,84,34,270
791,1214,396,136,38,270
792,1381,223,139,81,271
793,1692,272,130,77,271
794,1493,354,79,35,271
795,1355,360,82,33,271
796,1226,361,84,34,271
797,1465,388,128,37,271
798,1345,393,118,37,271
799,1192,397,159,38,271
800,1370,224,143,82,272
801,1676,271,119,77,272
802,1476,354,79,35,272
803,1338,360,82,33,272
804,1208,362,84,35,272
805,1450,389,133,37,272
806,1356,227,144,79,273
807,1648,272,141,76,273
808,1459,352,80,38,273
809,1321,357,83,36,273
810,1190,361,85,37,273
811,1432,390,136,36,273
812,1346,227,145,82,274
813,1632,272,142,77,274
814,1444,354,85,36,274
815,1304,360,82,35,274
816,1172,362,85,33,274
817,1419,389,129,38,274
818,1325,226,144,83,275
819,1631,272,131,78,275
820,1287,354,88,43,275
821,1427,354,81,35,275
822,1153,363,85,34,275
823,1403,388,130,40,275
824,1314,231,141,79,276
825,1606,270,141,79,276
826,1410,355,82,35,276
827,1267,358,85,36,276
828,1134,363,86,36,276
829,1383,390,129,39,276
830,1296,231,149,81,277
831,1606,271,126,79,277
832,1394,354,83,37,277
833,1251,360,80,34,277
834,1115,363,87,36,277
835,1370,392,129,37,277
836,1281,233,150,81,278
837,1582,269,135,80,278
838,1375,356,87,37,278
839,1233,360,85,35,278
840,1096,364,88,36,278
841,1349,391,136,39,278
842,1267,232,161,85,279
843,1574,272,134,79,279
844,1360,354,86,39,279
845,1216,362,88,33,279
846,1075,364,91,36,279
847,1341,393,127,37,279
848,1189,395,136,42,279
849,1054,402,140,40,279
850,1252,233,170,84,280
851,1552,272,140,81,280
852,1343,354,81,38,280
853,1197,363,88,33,280
854,1056,365,91,36,280
855,1321,393,126,38,280
856,1182,398,130,39,280
857,1036,401,146,41,280
858,1240,237,160,82,281
859,1558,272,115,81,281
860,1326,358,82,34,281
861,1180,361,90,35,281
862,1040,366,94,36,281
863,1219,236,167,85,282
864,1535,273,125,81,282
865,1309,353,83,39,282
866,1161,362,89,35,282
867,1019,366,93,36,282
868,1216,236,169,86,283
869,1525,274,122,82,283
870,1292,358,84,36,283
871,1143,361,85,38,283
872,1000,366,96,37,283
873,1190,240,191,84,284
874,1510,273,126,83,284
875,1274,358,84,36,284
876,1123,361,87,39,284
877,955,367,229,80,284
878,1172,394,211,43,284
879,1169,241,198,84,285
880,1495,273,126,83,285
881,1257,358,86,37,285
882,1105,361,87,39,285
883,957,366,99,40,285
884,1157,241,180,86,286
885,1470,276,136,81,286
886,1239,360,86,34,286
887,1084,361,92,40,286
888,936,367,100,37,286
889,910,406,90,41,286
890,1143,243,198,87,287
891,1463,279,129,79,287
892,1221,360,85,35,287
893,1066,364,95,38,287
894,915,367,104,37,287
895,1189,397,141,40,287
896,1136,242,191,93,288
897,1437,275,138,84,288
898,1201,360,87,36,288
899,1046,363,94,39,288
900,892,366,105,40,288
901,1186,397,126,40,288
902,1109,246,194,91,289
903,1425,276,136,84,289
904,1184,360,86,38,289
905,1027,364,96,39,289
906,872,368,105,36,289
907,1107,245,177,93,290
908,1415,280,132,82,290
909,1164,360,89,38,290
910,849,368,106,36,290
911,827,406,175,45,290
912,1079,248,197,92,291
913,1398,280,135,82,291
914,1144,359,90,40,291
915,984,365,101,38,291
916,828,367,105,39,291
917,808,408,151,44,291
918,1090,250,172,92,292
919,1382,281,147,83,292
920,1126,360,90,38,292
921,967,362,96,43,292
922,805,367,112,38,292
923,1102,398,144,41,292
924,1066,248,183,96,293
925,1372,279,134,86,293
926,1106,360,92,39,293
927,945,365,99,36,293
928,784,367,108,38,293
929,1048,250,183,98,294
930,1353,282,141,85,294
931,1087,361,92,39,294
932,924,364,100,39,294
933,760,368,109,47,294
934,808,409,90,43,294
935,736,416,96,36,294
936,1038,254,165,100,295
937,1334,282,148,86,295
938,1068,360,93,42,295
939,903,365,100,40,295
940,736,369,108,46,295
941,1043,251,143,103,296
942,1316,284,156,86,296
943,1049,360,93,41,296
944,883,366,101,38,296
945,713,367,116,46,296
946,1024,399,146,44,296
947,990,254,194,105,297
948,1298,280,158,90,297
949,1030,361,93,40,297
950,860,365,102,39,297
951,689,368,110,47,297
952,1005,401,152,43,297
953,832,405,169,46,297
954,667,412,165,41,297
955,992,256,178,102,298
956,1282,284,168,90,298
957,1009,359,96,42,298
958,840,366,101,39,298
959,664,368,112,49,298
960,985,400,157,45,298
961,808,404,175,48,298
962,642,416,169,37,298
963,975,255,170,146,299
964,1267,284,160,90,299
965,816,365,104,40,299
966,640,368,114,47,299
967,614,418,182,34,299
968,953,258,182,144,300
969,1253,286,157,91,300
970,616,365,115,51,300
971,794,366,106,40,300
